

Time, Pressure, T2

561,0.00,24.50

778,0.00,24.50

978,0.00,24.50

1180,0.00,24.50

1381,0.00,24.50

1583,0.00,24.50

1783,0.00,24.50

1985,0.00,24.50

2186,0.00,24.50

2387,0.00,24.50

2589,0.00,24.50

2790,0.00,24.25

2992,0.00,24.50

3192,0.00,24.25

3394,0.00,24.50

3595,0.00,24.50

3796,0.00,24.50

3997,0.00,24.50

4199,0.00,23.50

4400,0.00,24.00

4601,0.00,24.25

4803,0.00,24.25

5004,0.00,24.50

5206,0.00,24.50

5406,0.00,24.50

5608,0.00,24.50

5809,0.00,24.50

6010,0.00,24.50

6211,0.00,24.50

6413,0.00,24.50

6615,0.00,24.50

6815,0.00,24.50

7017,0.00,24.50

7218,0.00,24.50

7419,0.00,24.50

7620,0.00,24.50

7822,0.00,24.50

8023,0.00,24.25

8224,0.00,24.50

8426,0.00,24.25

8627,0.00,24.50

8828,0.00,24.25

9029,0.00,24.50

9231,0.00,24.25

9432,0.00,24.50

9633,0.00,24.50

9834,0.00,24.50

10036,0.00,24.50

10237,0.00,24.50

10438,0.00,24.50

10640,0.00,24.50

10841,0.00,24.50

11042,0.00,24.50

11243,0.00,24.50

11445,0.00,24.50

11646,0.00,24.50

11847,0.00,24.50

12049,0.00,24.50

12250,0.00,24.50

12451,0.00,24.50

12653,0.00,24.25

12854,0.00,24.50

13056,0.00,24.50

13256,0.00,24.50

13458,0.00,24.50

13660,0.00,24.50

13860,0.00,24.50

14062,0.00,24.25

14263,0.00,24.50

14465,0.00,24.50

14666,0.00,24.50

14867,0.00,24.50

15069,0.00,24.50

15269,0.00,24.50

15471,0.00,24.50

15673,0.00,24.50

15874,0.00,24.50

16075,0.00,24.50

16276,0.00,24.50

16478,0.00,24.25

16679,0.00,24.50

16880,0.00,24.50

17082,0.00,24.50

17283,0.00,24.25

17484,0.00,24.50

17686,0.00,24.50

17887,0.00,24.50

18088,0.00,24.50

18289,0.00,24.50

18491,0.00,24.50

18692,0.00,24.50

18893,0.00,24.50

19095,0.00,24.50

19296,0.00,24.25

19497,0.00,24.25

19698,0.00,24.25

19900,0.00,24.25

20102,0.00,24.50

20302,0.00,24.25

20504,0.00,24.50

20705,0.00,24.50

20907,0.00,24.50

21108,0.00,24.50

21309,0.00,24.50

21511,0.00,24.50

21711,0.00,24.50


25738,0.00,24.25

25939,0.00,24.25

26140,0.00,24.25

26342,0.00,24.25

26544,0.00,24.25

26744,0.00,24.50

26946,0.00,24.25

27147,0.00,24.25

27348,0.00,24.50

27550,0.00,24.25

27751,0.00,24.25

27953,0.00,24.50

28153,0.00,24.50

28355,0.00,24.25

28557,0.00,24.25

28758,0.00,24.50

28959,0.00,24.50

29160,0.00,24.25

29362,0.00,24.25

29563,0.00,24.25

29764,0.00,24.50

29966,0.00,24.50

30167,0.00,24.50

30368,0.00,24.25

30570,0.00,24.50

30771,0.00,24.50

30972,0.00,24.00


33790,0.00,24.50

33992,0.00,24.50

34193,0.00,24.50

34395,0.00,24.50

34595,0.00,24.25

34797,0.00,24.25

34999,0.00,24.25

35200,0.00,24.50

35401,0.00,24.25

35602,0.00,24.50

35804,0.00,24.25

36005,0.00,24.25

36206,0.00,24.25

36408,0.00,24.25

36609,0.00,24.25

36810,0.00,24.50

37012,0.00,24.25

37213,0.00,24.25

37414,0.00,24.25

37615,0.00,24.50

37817,0.00,24.50

38019,0.00,24.25

38219,0.00,24.25

38421,0.00,24.25

38622,0.00,24.25

38823,0.00,24.25

39025,0.00,24.25

39226,0.00,24.25

39428,0.00,24.25

39628,0.00,24.25

39830,0.00,24.25

40032,0.00,24.50

40232,0.00,24.25

40434,0.00,24.25

40635,0.00,24.25

40837,0.00,24.25

41038,0.00,24.50

41239,0.00,24.25

41441,0.00,24.25

41641,0.00,24.25

41843,0.00,24.25

42045,0.00,24.25

42246,0.00,24.25

42447,0.00,24.25

42648,0.00,24.50

42850,0.00,24.25

43052,0.00,24.25

43252,0.00,24.25

43454,0.00,24.50

43655,0.00,24.25

43856,0.00,24.50

44057,0.00,24.50

44259,0.00,24.25

44461,0.00,24.25

44661,0.00,24.25

44863,0.00,24.25

45064,0.00,24.50

45265,0.00,24.25

45467,0.00,24.25

45668,0.00,24.25

45870,0.00,24.50

46070,0.00,24.25

46272,0.00,24.50

46474,0.00,24.50

46674,0.00,24.25

46876,0.00,24.25

47077,0.00,24.25

47279,0.00,24.25

47480,0.00,24.50

47681,0.00,24.50

47883,0.00,24.50

48083,0.00,24.50

48285,0.00,24.50

48487,0.00,24.25

48688,0.00,24.25

48889,0.00,24.25

49090,0.00,24.50

49292,0.00,24.25

49494,0.00,24.50

49694,0.00,24.25

49896,0.00,24.25

50097,0.00,24.50

50298,0.00,24.25

50500,0.00,24.50

50701,0.00,24.25

50903,0.00,24.50

51103,0.00,24.50

51305,0.00,24.50

51507,0.00,24.25

51707,0.00,24.25

51909,0.00,24.25

52110,0.00,24.50

52312,0.00,24.25

52513,0.00,24.25

52714,0.00,24.25

52916,0.00,24.25

53116,0.00,24.50

53318,0.00,24.50

53520,0.00,24.25

53721,0.00,24.50

53922,0.00,24.50

54123,0.00,24.25

54325,0.00,24.50

54525,0.00,24.25

54727,0.00,24.25

54929,0.00,24.25

55130,0.00,24.25

55331,0.00,24.25

55532,0.00,24.25

55734,0.00,24.50

55936,0.00,24.25

56136,0.00,24.50

56338,0.00,24.50

56539,0.00,24.25

56740,0.00,24.25

56942,0.00,24.25

57143,0.00,24.25

57345,0.00,24.25

57545,0.00,24.50

57747,0.00,24.25

57949,0.00,24.25

58149,0.00,24.25

