

Time, Pressure, T2

561,0.00,24.75

778,0.00,24.75

978,0.00,24.75

1180,0.00,24.75

1381,0.00,24.75

1583,0.00,24.75

1783,0.00,24.75

1985,0.00,24.75

2186,0.00,24.75

2387,0.00,24.75

2589,0.00,24.75

2790,0.00,24.75

2992,0.00,24.75

3192,0.00,24.75

3394,0.00,24.75

3595,0.00,24.75

3796,0.00,24.75

3997,0.00,24.75

4199,0.00,24.75

4401,0.00,24.75

4601,0.00,24.75

4803,0.00,24.75

5004,0.00,24.75

5206,0.00,24.75

5406,0.00,24.75

5608,0.00,24.75

5809,0.00,24.75

6010,0.00,24.75

6212,0.00,24.75

6413,0.00,24.75

6615,0.00,24.75

6815,0.00,24.75

7017,0.00,24.75

7218,0.00,24.75

7419,0.00,24.75

7620,0.00,24.75

7822,0.00,24.75

8024,0.00,24.75

8224,0.00,24.75

8426,0.00,24.75

8627,0.00,24.75

8828,0.00,24.75

9029,0.00,24.75

9231,0.00,24.75

9432,0.00,24.75

9633,0.00,24.75

9835,0.00,24.75

10036,0.00,24.75

10237,0.00,24.75

10438,0.00,24.75

10640,0.00,24.75

10842,0.00,24.75

11042,0.00,24.75

11244,0.00,24.75

11445,0.00,24.75

11646,0.00,24.75

11847,0.00,24.75

12049,0.00,24.75

12251,0.00,24.75

12451,0.00,24.75

12653,0.00,24.75

12854,0.00,24.75

13056,0.00,24.75

13257,0.00,24.75

13458,0.00,24.75

13660,0.00,24.75

13860,0.00,24.75

14062,0.00,24.75

14264,0.00,24.75

14465,0.00,24.75

14666,0.00,24.75

14867,0.00,24.75

15069,0.00,24.75

15270,0.00,24.75

15471,0.00,24.75

15673,0.00,24.75

15874,0.00,24.75

16075,0.00,24.75

16277,0.00,24.75

16478,0.00,24.75

16679,0.00,24.75

16880,0.00,24.75

17082,0.00,24.75

17284,0.00,24.75

17484,0.00,24.75

17686,0.00,24.75

17887,0.00,24.75

18088,0.00,24.75

18290,0.00,24.75

18491,0.00,24.75

18693,0.00,24.75

18893,0.00,24.75

19095,0.00,24.75

19297,0.00,24.75

19497,0.00,24.75

19699,0.00,24.75

19900,0.00,24.75

20102,0.00,24.75

20303,0.00,24.75

20504,0.00,24.75

20706,0.00,24.75

20907,0.00,24.75

21108,0.00,24.75

21310,0.00,24.75

21511,0.00,24.75

21712,0.00,24.75

21913,0.00,24.75

22115,0.00,24.75

22317,0.00,24.75

22517,0.00,24.75

22719,0.00,24.75

22920,0.00,24.75

23121,0.00,24.75

23323,0.00,24.75

23524,0.00,24.75

23726,0.00,24.75

23926,0.00,24.75

24128,0.00,24.75

24330,0.00,24.75

24530,0.00,24.75

24732,0.00,24.75

24933,0.00,24.75

25135,0.00,24.75

25336,0.00,24.75

25537,0.00,24.75

25739,0.00,24.75

25939,0.00,24.75

26141,0.00,24.75

26343,0.00,24.75

26544,0.00,24.75

26745,0.00,24.75

26946,0.00,24.75

27148,0.00,24.75

27350,0.00,24.75

27550,0.00,24.75

27752,0.00,24.75

27953,0.00,24.75

28154,0.00,24.75

28356,0.00,24.75

28557,0.00,24.75

28759,0.00,24.75

28959,0.00,24.75

29161,0.00,24.75

29363,0.00,24.75

29563,0.00,24.75

29765,0.00,24.75

29966,0.00,24.75

30168,0.00,24.75

30369,0.00,24.75

30570,0.00,24.75

30772,0.00,24.75

30972,0.00,24.75

31174,0.00,24.75

31376,0.00,24.75

31577,0.00,24.75

31778,0.00,24.75

31979,0.00,24.75

32181,0.00,24.75

32382,0.00,24.75

32583,0.00,24.75

32785,0.00,24.75

32986,0.00,24.75

33187,0.00,24.75

33389,0.00,24.75

33590,0.00,24.75

33792,0.00,24.75

33992,0.00,24.75

34194,0.00,24.75

34396,0.00,24.75

34596,0.00,24.75

34798,0.00,24.75

34999,0.00,24.75

35201,0.00,24.75

35402,0.00,24.75

35603,0.00,24.75

35805,0.00,24.75

36005,0.00,24.75

36207,0.00,24.75

36409,0.00,24.75

36610,0.00,24.75

36811,0.00,24.75

37012,0.00,24.75

37214,0.00,24.75

37415,0.00,24.75

37616,0.00,24.75

37818,0.00,24.75

38019,0.00,24.75

38220,0.00,24.75

38422,0.00,24.75

38623,0.00,24.75

38824,0.00,24.75

39025,0.00,24.75

39227,0.00,24.75

39429,0.00,24.75

39629,0.00,24.75

39831,0.00,24.75

40032,0.00,24.75

40233,0.00,24.75

40435,0.00,24.75

40636,0.00,24.75

40838,0.00,24.75

41038,0.00,24.75

41240,0.00,24.75

41442,0.00,24.75

41643,0.00,24.75

41844,0.00,24.75

42045,0.00,24.75

42247,0.00,24.75

42448,0.00,24.75

42649,0.00,24.75

42851,0.00,24.75

43052,0.00,24.75

43253,0.00,24.75

43455,0.00,24.75

43656,0.00,24.75

43857,0.00,24.75

44058,0.00,24.75

44260,0.00,24.75

44462,0.00,24.50

44662,0.00,23.25

44864,0.00,24.50

45065,70.38,24.25

45266,67.45,24.75

45468,70.38,24.75

45669,70.38,24.75

45871,73.31,24.75

46072,70.38,24.75

46274,70.38,24.50

46475,70.38,24.50

46676,70.38,24.75

46878,70.38,24.75

47079,70.38,24.75

47281,70.38,24.75

47482,70.38,24.75

47683,70.38,24.75

47885,70.38,24.50

48087,70.38,24.75

48287,70.38,24.75

48489,73.31,24.75

48691,70.38,24.75

48891,70.38,24.75

49093,70.38,24.50

49295,70.38,24.75

49497,70.38,24.75

49697,70.38,24.75

49899,70.38,24.50

50101,70.38,24.75

50301,70.38,24.50

50503,70.38,24.75

50705,70.38,24.50

50906,70.38,24.75

