

Time, Pressure, T2

561,0.00,24.00

778,0.00,24.00

978,0.00,24.00

1180,0.00,24.00

1381,0.00,24.00

1583,0.00,23.75

1783,0.00,23.75

1985,0.00,24.00

2186,0.00,24.00

2387,0.00,24.00

2589,0.00,24.00

2790,0.00,24.00

2992,0.00,24.00

3192,0.00,24.00

3394,0.00,24.00

3595,0.00,24.00

3796,0.00,24.00

3997,0.00,24.00

4199,0.00,24.00

4400,0.00,24.00

4601,0.00,24.00

4802,0.00,24.00

5004,0.00,24.00

5206,0.00,24.00

5406,0.00,24.00

5608,0.00,24.00

5809,0.00,24.00

6010,0.00,24.00

6211,0.00,24.00

6413,0.00,24.00

6614,0.00,24.00

6815,0.00,24.00

7016,0.00,24.00

7218,0.00,24.00

7419,0.00,24.00

7620,0.00,24.00

7822,0.00,24.00

8023,0.00,24.00

8224,0.00,24.00

8425,0.00,24.00

8627,0.00,24.00

8827,0.00,24.00

9029,0.00,24.00

9230,0.00,24.00

9432,0.00,24.00

9633,0.00,24.00

9834,0.00,24.00

10036,0.00,24.00

10236,0.00,24.00

10438,0.00,24.00

10639,0.00,24.00

10841,0.00,24.00

11042,0.00,24.00

11243,0.00,24.00

11445,0.00,24.00

11645,0.00,24.00

11847,0.00,24.00

12048,0.00,24.00

12250,0.00,24.00

12451,0.00,24.00

12652,0.00,24.00

12854,0.00,24.00

13054,0.00,24.00

13256,0.00,24.00

13458,0.00,24.00

13659,0.00,24.00

13860,0.00,24.00

14061,0.00,24.00

14263,0.00,24.00

14465,0.00,24.00

14665,0.00,24.00

14867,0.00,24.00

15068,0.00,24.00

15269,0.00,24.00

15470,0.00,24.00

15672,0.00,24.00

15874,0.00,24.00

16074,0.00,24.00

16276,0.00,24.00

16477,0.00,24.00

16678,0.00,24.00

16880,0.00,24.00

17081,0.00,24.00

17283,0.00,24.00

17483,0.00,24.00

17685,0.00,24.00

17887,0.00,24.00

18087,0.00,24.00

18289,0.00,24.00

18490,0.00,24.00

18692,0.00,24.00

18892,0.00,24.00

19094,0.00,24.00

19296,0.00,24.00

19496,0.00,24.00

19698,0.00,24.00

19899,0.00,24.00

20101,0.00,24.00

20302,0.00,24.00

20503,0.00,24.00

20705,0.00,24.00

20905,0.00,24.00

21107,0.00,24.00

21309,0.00,24.00

21510,0.00,24.00

21711,0.00,24.00

21912,0.00,24.00

22114,0.00,24.00

22315,0.00,24.00

22516,0.00,24.00

22718,0.00,24.00

22919,0.00,24.00

23120,0.00,24.00

23321,0.00,24.00

23523,0.00,24.00

23725,0.00,24.00

23925,0.00,24.00

24127,0.00,24.00

24328,0.00,24.00

24529,0.00,24.00

24731,0.00,24.00

24932,0.00,24.00

25134,0.00,24.00

25334,0.00,24.00

25536,0.00,24.00

25737,0.00,24.00

25938,0.00,24.00

26140,0.00,24.00

26341,0.00,24.00

26543,0.00,24.00

26743,0.00,24.00

26945,0.00,24.00

27147,0.00,24.00

27347,0.00,24.00

27549,0.00,24.00

27750,0.00,24.00

27952,0.00,24.00

28153,0.00,24.00

28354,0.00,24.00

28556,0.00,24.00

28756,0.00,24.00

28958,0.00,24.00

29159,0.00,24.00

29361,0.00,24.00

29562,0.00,24.00

29763,0.00,24.00

29965,0.00,23.75

30166,0.00,24.00

30367,0.00,24.00

30569,0.00,23.75

30770,0.00,24.00

30971,0.00,24.00

31172,0.00,24.00

31374,0.00,24.00

31576,0.00,24.00

31776,0.00,23.75

31978,0.00,23.75

32179,0.00,24.00

32380,0.00,24.00

32582,0.00,24.00

32783,0.00,24.00

32985,0.00,23.75

33185,0.00,24.00

33387,0.00,23.75

33588,0.00,24.00

33789,0.00,24.00

33991,0.00,23.75

34192,0.00,24.00

34394,0.00,24.00

34594,0.00,24.00

34796,0.00,24.00

34998,0.00,24.00

35198,0.00,24.00

35400,0.00,24.00

35601,0.00,24.00

35803,0.00,24.00

36004,0.00,24.00

36205,0.00,24.00

36407,0.00,24.00

36608,0.00,24.00

36809,0.00,24.00

37010,0.00,23.75

37212,0.00,24.00

37413,0.00,24.00

37614,0.00,24.00

37816,0.00,24.00

38017,0.00,24.00

38218,0.00,24.00

38420,0.00,24.00

38621,0.00,24.00

38822,0.00,23.75

39023,0.00,24.00

39225,0.00,24.00

39427,0.00,24.00

39627,0.00,23.75

39829,0.00,23.75

40030,0.00,23.75

40231,0.00,23.75

40433,0.00,24.00

40634,0.00,24.00

40836,0.00,24.00

41036,0.00,24.00

41238,0.00,24.00

41439,0.00,24.00

41640,0.00,24.00

41842,0.00,24.00

42043,0.00,24.00

42245,0.00,24.00

42445,0.00,24.00

42647,0.00,24.00

42849,0.00,24.00

43049,0.00,24.00

43251,0.00,24.00

43452,0.00,24.00

43654,0.00,24.00

43855,0.00,24.00

44056,0.00,24.00

44258,0.00,24.00

44459,0.00,24.00

44660,0.00,24.00

44862,0.00,24.00

45063,0.00,24.00

45264,0.00,24.00

45465,0.00,24.00

45667,0.00,24.00

45868,0.00,24.00

46069,0.00,24.00

46271,0.00,24.00

46472,0.00,24.00

46673,0.00,24.00

46874,0.00,24.00

47076,0.00,24.00

47278,0.00,24.00

47478,0.00,23.75

47680,0.00,23.75

47881,0.00,24.00

48082,0.00,24.00

48284,0.00,24.00

48485,0.00,24.00

48687,0.00,24.00

48887,0.00,24.00

49089,0.00,23.75

49290,0.00,23.75

49491,0.00,24.00

49693,0.00,24.00

49894,0.00,24.00

50096,0.00,23.75

50296,0.00,23.75

50498,0.00,24.00

50700,0.00,24.00

50900,0.00,23.75

51102,0.00,24.00

51303,0.00,23.75

51505,0.00,24.00

51706,0.00,23.75

51907,0.00,24.00

52109,0.00,23.75

52310,0.00,24.00

52511,0.00,23.75

52713,0.00,24.00

52914,0.00,24.00

53115,0.00,24.00

53316,0.00,24.00

53518,0.00,24.00

53720,0.00,24.00

53920,0.00,23.75

54122,0.00,24.00

54323,0.00,24.00

54524,0.00,24.00

54725,0.00,24.00

54927,0.00,24.00

55129,0.00,24.00

55329,0.00,24.00

55531,0.00,24.00

55732,0.00,24.00

55933,0.00,23.75

56135,0.00,23.75

56336,0.00,24.00

56538,0.00,24.00

56738,0.00,24.00

56940,0.00,24.00

57142,0.00,24.00

57342,0.00,24.00

57544,0.00,23.75

57745,0.00,24.00

57947,0.00,24.00

58148,0.00,24.00

58349,0.00,24.00

58551,0.00,24.00

58752,0.00,24.00

58953,0.00,24.00

59154,0.00,24.00

59356,0.00,24.00

59557,0.00,24.00

59758,0.00,24.00

59960,0.00,23.75

60161,0.00,24.00

60362,0.00,24.00

60564,0.00,24.00

60765,0.00,24.00

60966,0.00,24.00

61167,0.00,23.75

61369,0.00,24.00

61571,0.00,24.00

61771,0.00,23.75

61973,0.00,24.00

62174,0.00,23.75

62375,0.00,24.00

62577,0.00,23.75

62778,0.00,24.00

62980,0.00,23.75

63180,0.00,24.00

63382,0.00,23.75

63584,0.00,24.00

63784,0.00,24.00

63986,0.00,23.75

64187,0.00,24.00

64389,0.00,24.00

64589,0.00,23.75

64791,0.00,24.00

64993,0.00,23.75

65193,0.00,23.75

65395,0.00,24.00

65596,0.00,24.00

65798,0.00,24.00

65999,0.00,23.75

