
Time, Pressure, T2

561,0.00,26.50

778,0.00,26.25

978,0.00,26.50

1180,0.00,26.50

1381,0.00,26.50

1583,0.00,26.50

1783,0.00,26.50

1985,0.00,26.50

2186,0.00,26.25

2387,0.00,26.25

2589,0.00,26.25

2790,0.00,26.50

2992,0.00,26.25

3192,0.00,26.25

3394,0.00,26.25

3595,0.00,26.25

3796,0.00,26.25

3997,0.00,26.50

4199,0.00,26.25

4401,0.00,26.25

4601,0.00,26.50

4803,0.00,26.25

5004,0.00,26.50

5206,0.00,26.25

5406,0.00,26.25

5608,0.00,26.25

5809,0.00,26.25

6010,0.00,26.25

6212,0.00,26.25

6413,0.00,26.25

6615,0.00,26.50

6815,0.00,26.50

7017,0.00,26.25

7218,0.00,26.25

7419,0.00,26.25

7620,0.00,26.25

7822,0.00,26.25

8024,0.00,26.50

8224,0.00,26.25

8426,0.00,26.25

8627,0.00,26.25

8828,0.00,26.25

9029,0.00,26.25

9231,0.00,26.25

9432,0.00,26.50

9633,0.00,26.50

9835,0.00,26.25

10036,0.00,26.25

10237,0.00,26.25

10438,0.00,26.25

10640,0.00,26.50

10841,0.00,26.25

11042,0.00,26.50

11244,0.00,26.25

11445,0.00,26.25

11646,0.00,26.25

11847,0.00,26.50

12049,0.00,26.50

12251,0.00,26.25

12451,0.00,26.25

12653,0.00,26.25

12854,0.00,26.50

13056,0.00,26.25

13257,0.00,26.25

13458,0.00,26.25

13660,0.00,26.25

13860,0.00,26.25

14062,0.00,26.25

14264,0.00,26.50

14465,0.00,26.25

14666,0.00,26.25

14867,0.00,26.50

15069,0.00,26.25

15270,0.00,26.25

15471,0.00,26.25

15673,0.00,26.25

15874,0.00,26.25

16075,0.00,26.25

16277,0.00,26.25

16478,0.00,26.25

16679,0.00,26.25

16880,0.00,26.25

17082,0.00,26.50

17284,0.00,26.25

17484,0.00,26.25

17686,0.00,26.25

17887,0.00,26.25

18088,0.00,26.25

18290,0.00,26.25

18491,0.00,26.25

18693,0.00,26.25

18893,0.00,26.25

19095,0.00,26.25

19297,0.00,26.25

19497,0.00,26.25

19699,0.00,26.25

19900,0.00,26.25

20102,0.00,26.25

20302,0.00,26.25

20504,0.00,26.25

20706,0.00,26.50

20907,0.00,26.25

21108,0.00,26.25

21309,0.00,26.25

21511,0.00,26.25

21712,0.00,26.25

21913,0.00,26.25

22115,0.00,26.25

22316,0.00,26.25

22517,0.00,26.25

22719,0.00,26.25

22920,0.00,26.25

23121,0.00,26.25

23322,0.00,26.25

23524,0.00,26.25

23726,0.00,26.25

23926,0.00,26.25

24128,0.00,26.25

24329,0.00,26.25

24530,0.00,26.25

24732,0.00,26.25

24933,0.00,26.25

25135,0.00,26.25

25335,0.00,26.25

25537,0.00,26.25

25739,0.00,26.25

25939,0.00,26.25

26141,0.00,26.50

26342,0.00,26.25

26544,0.00,26.25

26745,0.00,26.25

26946,0.00,26.25

27148,0.00,26.25

27348,0.00,26.25

27550,0.00,26.25

27752,0.00,26.25

27953,0.00,26.25

28154,0.00,26.25

28355,0.00,26.25

28557,0.00,26.25

28759,0.00,26.25

28959,0.00,26.25

29161,0.00,26.25

29362,0.00,26.25

29563,0.00,26.25

29765,0.00,26.25

29966,0.00,26.25

30168,0.00,26.25

30368,0.00,26.25

30570,0.00,26.25

30772,0.00,26.25

30972,0.00,26.25

31174,0.00,26.25

31375,0.00,26.25

31577,0.00,26.25

31778,0.00,26.25

31979,0.00,26.25

32181,0.00,26.25

32381,0.00,26.25

32583,0.00,26.25

32785,0.00,26.25

32986,0.00,26.50

33187,0.00,26.25

33388,0.00,26.25

33590,0.00,26.25

33792,0.00,26.25

33992,0.00,26.25

34194,0.00,26.25

34395,0.00,26.25

34596,0.00,26.25

34798,0.00,26.25

34999,0.00,26.25

35201,0.00,26.25

35401,0.00,26.25

35603,0.00,26.25

35805,0.00,26.25

36005,0.00,26.25

36207,0.00,26.25

36408,0.00,26.25

36610,0.00,26.25

36811,0.00,26.25

37012,0.00,26.25

37214,0.00,26.25

37414,0.00,26.25

37616,0.00,26.25

37818,0.00,26.25

38019,0.00,26.25

38220,0.00,26.25

38421,0.00,26.25

38623,0.00,26.25

38824,0.00,26.25

39025,0.00,26.25

39227,0.00,26.25

39428,0.00,26.25

39629,0.00,26.25

39831,0.00,26.25

40032,0.00,26.25

40233,0.00,26.25

40434,0.00,26.25

40636,0.00,26.25

40838,0.00,26.25

41038,0.00,26.25

41240,0.00,26.25

41441,0.00,26.25

41643,0.00,26.25

41844,0.00,26.25

42045,0.00,26.25

42247,0.00,26.25

42447,0.00,26.25

42649,0.00,26.25

42851,0.00,26.25

43052,0.00,26.25

43253,0.00,26.25

43454,0.00,26.25

43656,0.00,26.25

43857,0.00,26.25

44058,0.00,26.25

44260,0.00,26.25

44461,0.00,26.25

44662,0.00,26.25

44864,0.00,26.25

45065,0.00,26.25

45266,0.00,26.25

45467,0.00,26.25

45669,0.00,26.25

