

Time, Pressure, T2

561,0.00,24.50

778,0.00,24.25

978,0.00,24.25

1180,0.00,24.25

1381,0.00,24.50

1583,0.00,24.25

1783,0.00,24.25

1985,0.00,24.25

2186,0.00,24.25

2387,0.00,24.25

2589,0.00,24.50

2790,0.00,24.25

2992,0.00,24.25

3192,0.00,24.25

3394,0.00,24.25

3595,0.00,24.25

3796,0.00,24.50

3997,0.00,24.25

4199,0.00,24.25

4401,0.00,24.25

4601,0.00,24.25

4803,0.00,24.25

5004,0.00,24.25

5206,0.00,24.25

5406,0.00,24.25

5608,0.00,24.25

5809,0.00,24.25

6010,0.00,24.25

6212,0.00,24.25

6413,0.00,24.50

6615,0.00,24.25

6815,0.00,24.25

7017,0.00,24.50

7218,0.00,24.50

7419,0.00,24.25

7620,0.00,24.25

7822,0.00,24.50

8024,0.00,24.25

8224,0.00,24.25

8426,0.00,24.50

8627,0.00,24.25

8828,0.00,24.25

9029,0.00,24.25

9231,0.00,24.25

9432,0.00,24.50

9633,0.00,24.25

9835,0.00,24.25

10036,0.00,24.25

10237,0.00,24.50

10438,0.00,24.25

10640,0.00,24.25

10841,0.00,24.25

11042,0.00,24.25

11244,0.00,24.25

11445,0.00,24.25

11646,0.00,24.25

11847,0.00,24.25

12049,0.00,24.25

12251,0.00,24.25

12451,0.00,24.25

12653,0.00,24.25

12854,0.00,24.25

13056,0.00,24.25

13257,0.00,24.25

13458,0.00,24.50

13660,0.00,24.25

13860,0.00,24.25

14062,0.00,24.25

14264,0.00,24.25

14465,0.00,24.25

14666,0.00,24.25

14867,0.00,24.25

15069,0.00,24.25

15270,0.00,24.25

15471,0.00,24.25

15673,0.00,24.25

15874,0.00,24.25

16075,0.00,24.25

16277,0.00,24.25

16478,0.00,24.25

16679,0.00,24.50

16880,0.00,24.25

17082,0.00,24.25

17284,0.00,24.25

17484,0.00,24.25

17686,0.00,24.25

17887,0.00,24.25

18088,0.00,24.25

18290,0.00,24.25

18491,0.00,24.25

18693,0.00,24.25

18893,0.00,24.25

19095,0.00,24.25

19297,0.00,24.25

19497,0.00,24.50

19699,0.00,24.25

19900,0.00,24.25

20102,0.00,24.25

20303,0.00,24.25

20504,0.00,24.25

20706,0.00,24.25

20907,0.00,24.25

21108,0.00,24.25

21310,0.00,24.50

21511,0.00,24.25

21712,0.00,24.25

21913,0.00,24.25

22115,0.00,24.50

22317,0.00,24.25

22517,0.00,24.25

22719,0.00,24.25

22920,0.00,24.25

23121,0.00,24.25

23323,0.00,24.25

23524,0.00,24.25

23726,0.00,24.25

23926,0.00,24.25

24128,0.00,24.25

24330,0.00,24.25

24530,0.00,24.25

24732,0.00,24.25

24933,0.00,24.25

25135,0.00,24.25

25336,0.00,24.25

25537,0.00,24.50

25739,0.00,24.25

25939,0.00,24.25

26141,0.00,24.25

26343,0.00,24.25

26544,0.00,24.25

26745,0.00,24.25

26946,0.00,24.25

27148,0.00,24.25

27350,0.00,24.25

27550,0.00,24.25

27752,0.00,24.25

27953,0.00,24.25

28154,0.00,24.50

28356,0.00,24.25

28557,0.00,24.25

28759,0.00,24.25

28959,0.00,24.25

29161,0.00,24.25

29362,0.00,24.25

29563,0.00,24.25

29765,0.00,24.25

29966,0.00,24.25

30168,0.00,24.25

30368,0.00,24.25

30570,0.00,24.25

30772,0.00,24.25

30972,0.00,24.25

31174,0.00,24.25

31375,0.00,24.25

31577,0.00,24.25

31778,0.00,24.25

31979,0.00,24.25

32181,0.00,24.25

32381,0.00,24.25

32583,0.00,24.25

32785,0.00,24.25

32986,0.00,24.25

33187,0.00,24.25

33388,0.00,24.25

33590,0.00,24.25

33792,0.00,24.25

33992,0.00,24.25

34194,0.00,24.25

34395,0.00,24.25

34596,11.73,24.25

34798,11.73,24.25

34999,14.66,24.25

35201,14.66,24.25

35402,17.60,24.25

35604,17.60,24.25

35805,17.60,24.25

36006,17.60,24.25

36208,17.60,24.25

36409,17.60,24.25

36611,20.53,24.25

36812,20.53,24.25

37013,20.53,24.25

37215,20.53,24.25

37416,20.53,24.25

37617,17.60,24.25

37819,20.53,24.25

38021,20.53,24.25

38222,20.53,24.25

38423,20.53,24.25

38625,20.53,24.25

38827,20.53,24.25

39027,20.53,24.25

39229,20.53,24.25

39431,20.53,24.25

39631,20.53,24.25

39833,20.53,24.25

40035,20.53,24.25

40237,20.53,24.25

40437,20.53,24.25

40639,20.53,24.25

40841,20.53,24.25

41041,20.53,24.25

41243,20.53,24.25

41445,23.46,24.25

41646,20.53,24.25

41847,23.46,24.25

42049,20.53,24.25

42250,20.53,24.25

42451,20.53,24.25

42653,20.53,24.25

42855,20.53,24.25

43056,20.53,24.25

43257,20.53,24.00

43459,20.53,24.25

43660,20.53,24.25

43862,20.53,24.00

44063,14.66,24.25

44264,20.53,24.00

44466,20.53,24.25

44667,23.46,24.25

44868,20.53,24.00

45070,20.53,24.00

45272,20.53,24.25

45473,20.53,24.00

45674,20.53,24.25

45876,20.53,24.00

46077,20.53,24.00

46278,20.53,24.00

46480,20.53,24.00

46682,23.46,24.00

46882,20.53,24.00

47084,23.46,24.00

47286,20.53,24.00

47486,20.53,24.00

47688,23.46,24.00

47890,23.46,24.00

48091,20.53,24.00

48292,23.46,24.00

48494,20.53,24.00

48696,23.46,24.00

48897,20.53,24.00

49098,20.53,24.00

49300,20.53,24.00

49501,20.53,24.00

49702,23.46,24.00

49904,20.53,24.00

50105,20.53,24.00

50307,23.46,24.00

50508,20.53,24.00

50709,23.46,24.00

50911,20.53,24.00

51112,23.46,24.00

51313,20.53,24.00

51515,23.46,24.00

51717,20.53,24.25

