



Time, Pressure, T2

561,0.00,23.50

778,0.00,23.50

978,0.00,23.50

1180,0.00,23.50

1381,0.00,23.50

1583,0.00,23.25

1783,0.00,23.50

1985,0.00,23.50

2186,0.00,23.25

2387,0.00,23.50

2589,0.00,23.50

2790,0.00,23.50

2992,0.00,23.50

3192,0.00,23.50

3394,0.00,23.50

3595,0.00,23.25

3796,0.00,23.50

3997,0.00,23.50

4199,0.00,23.50

4400,0.00,23.50

4601,0.00,23.50

4803,0.00,23.50

5004,0.00,23.50

5206,0.00,23.50

5406,0.00,23.50

5608,0.00,23.50

5809,0.00,23.50

6010,0.00,23.50

6211,0.00,23.50

6413,0.00,23.50

6615,0.00,23.25

6815,0.00,23.25

7017,0.00,23.50

7218,0.00,23.50

7419,0.00,23.50

7620,0.00,23.50

7822,0.00,23.50

8023,0.00,23.50

8224,0.00,23.25

8426,0.00,23.50

8627,0.00,23.50

8828,0.00,23.25

9029,0.00,23.50

9231,0.00,23.50

9432,0.00,23.50

9633,0.00,23.50

9834,0.00,23.50

10036,0.00,23.50

10237,0.00,23.50

10438,0.00,23.50

10640,0.00,23.50

10841,0.00,23.50

11042,0.00,23.25

11244,0.00,23.50

11445,0.00,23.50

11646,0.00,23.50

11847,0.00,23.50

12049,0.00,23.50

12250,0.00,23.50

12451,0.00,23.50

12653,0.00,23.25

12854,0.00,23.50

13056,0.00,23.50

13256,0.00,23.50

13458,0.00,23.25

13660,0.00,23.50

13860,0.00,23.50

14062,0.00,23.25

14263,0.00,23.50

14465,0.00,23.50

14666,0.00,23.50

14867,0.00,23.50

15069,0.00,23.50

15269,0.00,23.50

15471,0.00,23.50

15673,0.00,23.50

15874,0.00,23.50

16075,0.00,23.50

16276,0.00,23.50

16478,0.00,23.50

16679,0.00,23.50

16880,0.00,23.25

17082,0.00,23.50

17283,0.00,23.25

17484,0.00,23.50

17686,0.00,23.50

17887,0.00,23.50

18088,0.00,23.50

18289,0.00,23.25

18491,0.00,23.50

18693,0.00,23.50

18893,0.00,23.50

19095,0.00,23.50

19296,0.00,23.25

19497,0.00,23.50

19698,0.00,23.50

19900,0.00,23.50

20102,0.00,23.50

20302,0.00,23.50

20504,0.00,23.50

20705,0.00,23.50

20907,0.00,23.50

21108,0.00,23.50

21309,0.00,23.25

21511,0.00,23.50

21711,0.00,23.50

21913,0.00,23.50

22115,0.00,23.25

22316,0.00,23.50

22517,0.00,23.50

22718,0.00,23.50

22920,0.00,23.50

23121,0.00,23.50

23322,0.00,23.50

23524,0.00,23.50

23725,0.00,23.50

23926,0.00,23.50

24128,0.00,23.50

24329,0.00,23.50

24530,0.00,23.25

24731,0.00,23.50

24933,0.00,23.50

25135,0.00,23.50

25335,0.00,23.50

25537,0.00,23.50

25738,0.00,23.25

25939,0.00,23.50

26141,0.00,23.50

26342,0.00,23.25

26544,0.00,23.50

26744,0.00,23.25

26946,0.00,23.50

27147,0.00,23.25

27348,0.00,23.50

27550,0.00,23.50

27751,0.00,23.50

27953,0.00,23.25

28153,0.00,23.25

28355,0.00,23.50

28557,0.00,23.25

28758,0.00,23.50

28959,0.00,23.50

29160,0.00,23.50

29362,0.00,23.50

29563,0.00,23.25

29764,0.00,23.50

29966,0.00,23.50

30167,0.00,23.25

30368,0.00,23.25

30570,0.00,23.25

30771,0.00,23.25

30972,0.00,23.50

31173,0.00,23.25

31375,0.00,23.50

31577,0.00,23.50

31777,0.00,23.50

31979,0.00,23.25

32180,0.00,23.25

32381,0.00,23.25

32583,0.00,23.25

32784,0.00,23.50

32986,0.00,23.50

33186,0.00,23.50

33388,0.00,23.50

33590,0.00,23.25

33790,0.00,23.50

33992,0.00,23.50

34193,0.00,23.25

34395,0.00,23.25

34596,0.00,23.25

34797,49.85,23.25

34999,49.85,23.25

35201,49.85,23.25

35401,49.85,23.50

35603,49.85,23.50

35805,46.92,23.50

36005,46.92,23.50

36207,46.92,23.50

36409,46.92,23.50

36610,49.85,23.50

36811,49.85,23.25

37013,46.92,23.50

37214,49.85,23.25

37415,46.92,23.25

37617,49.85,23.25

37819,49.85,23.25

38020,49.85,23.50

38221,49.85,23.50

38423,49.85,23.50

38624,49.85,23.50

38825,49.85,23.50

39027,49.85,23.50

39228,49.85,23.50

39430,46.92,23.25

39631,38.12,23.50

39832,49.85,23.25

40034,46.92,23.25

40236,49.85,23.25

40437,49.85,23.50

40638,49.85,23.25

40840,49.85,23.25

41041,49.85,23.25

41242,49.85,23.50

41444,49.85,23.25

41646,49.85,23.50

41846,49.85,23.25

42048,49.85,23.50

42250,49.85,23.50

42450,46.92,23.50

42652,49.85,23.50

42854,49.85,23.25

43056,49.85,23.50

43256,46.92,23.50

43458,49.85,23.50

43660,49.85,23.50

43860,49.85,23.50

44062,49.85,23.50

44264,49.85,23.50

44465,49.85,23.50

44666,49.85,23.50

