

Time, Pressure, T2

561,0.00,23.25

778,0.00,23.25

978,0.00,23.25

1180,0.00,23.25

1381,0.00,23.25

1583,0.00,23.25

1783,0.00,23.25

1985,0.00,23.25

2186,0.00,23.25

2387,0.00,23.25

2589,0.00,23.25

2790,0.00,23.25

2992,0.00,23.25

3192,0.00,23.25

3394,0.00,23.25

3595,0.00,23.25

3796,0.00,23.25

3997,0.00,23.25

4199,0.00,23.25

4401,0.00,23.25

4601,0.00,23.25

4803,0.00,23.25

5004,0.00,23.25

5206,0.00,23.25

5406,0.00,23.25

5608,0.00,23.25

5809,0.00,23.25

6010,0.00,23.25

6212,0.00,23.25

6413,0.00,23.25

6615,0.00,23.25

6815,0.00,23.25

7017,0.00,23.25

7218,0.00,23.25

7419,0.00,23.25

7620,0.00,23.25

7822,0.00,23.25

8024,0.00,23.25

8224,0.00,23.25

8426,0.00,23.25

8627,0.00,23.25

8828,0.00,23.25

9029,0.00,23.25

9231,0.00,23.25

9432,0.00,23.25

9633,0.00,23.25

9835,0.00,23.25

10036,0.00,23.25

10237,0.00,23.25

10438,0.00,23.25

10640,0.00,23.25

10842,0.00,23.25

11042,0.00,23.25

11244,0.00,23.25

11445,0.00,23.25

11646,0.00,23.25

11847,0.00,23.25

12049,0.00,23.25

12251,0.00,23.25

12451,0.00,23.25

12653,0.00,23.25

12854,0.00,23.25

13056,0.00,23.25

13257,0.00,23.25

13458,0.00,23.25

13660,0.00,23.25

13860,0.00,23.25

14062,0.00,23.25

14264,0.00,23.25

14465,0.00,23.25

14666,0.00,23.25

14867,0.00,23.25

15069,0.00,23.25

15270,0.00,23.25

15471,0.00,23.25

15673,0.00,23.25

15874,0.00,23.25

16075,0.00,23.25

16277,0.00,23.25

16478,0.00,23.25

16679,0.00,23.25

16880,0.00,23.25

17082,0.00,23.25

17284,0.00,23.25

17484,0.00,23.25

17686,0.00,23.25

17887,0.00,23.25

18088,0.00,23.25

18290,0.00,23.25

18491,0.00,23.25

18693,0.00,23.25

18893,0.00,23.25

