
Time, Pressure, T2

561,0.00,24.00

778,0.00,23.75

978,0.00,23.75

1180,0.00,23.75

1381,0.00,23.75

1583,0.00,23.75

1783,0.00,23.75

1985,0.00,23.75

2186,0.00,23.75

2387,0.00,23.75

2589,0.00,23.75

2790,0.00,23.75

2992,0.00,23.75

3192,0.00,24.00

3394,0.00,23.75

3595,0.00,23.75

3796,0.00,23.75

3997,0.00,23.75

4199,0.00,23.75

4401,0.00,24.00

4601,0.00,23.75

4803,0.00,23.75

5004,0.00,23.75

5206,0.00,23.75

5406,0.00,23.75

5608,0.00,23.75

5809,0.00,23.75

6010,0.00,24.00

6212,0.00,23.75

6413,0.00,23.75

6615,0.00,23.75

6815,0.00,23.75

7017,0.00,24.00

7218,0.00,23.75

7419,0.00,23.75

7620,0.00,23.50

7822,0.00,23.50

8023,0.00,23.75

8224,0.00,23.75

8426,0.00,23.75

8627,0.00,23.75

8828,0.00,23.75

9029,0.00,23.75

9231,0.00,23.75

9432,0.00,23.75

9633,0.00,23.75

9834,0.00,23.75

10036,0.00,23.75

10237,0.00,23.75

10438,0.00,23.75

10640,0.00,23.75

10841,0.00,23.75

11042,0.00,23.75

11244,0.00,23.75

11445,0.00,23.75

11646,0.00,24.00

11847,0.00,23.75

12049,0.00,23.75

12251,0.00,23.75

12451,0.00,23.75

12653,0.00,23.75

12854,0.00,23.75

13056,0.00,23.75

13257,0.00,23.75

13458,0.00,23.75

13660,0.00,23.75

13860,0.00,23.75

14062,0.00,23.75

14264,0.00,23.75

14465,0.00,23.75

14666,0.00,23.75

14867,0.00,23.75

15069,0.00,23.75

15270,0.00,24.00

15471,0.00,23.75

15673,0.00,23.75

15874,0.00,23.75

16075,0.00,23.75

16277,0.00,23.75

16478,0.00,23.75

16679,0.00,23.75

16880,0.00,23.75

17082,0.00,23.75

17284,0.00,23.75

17484,0.00,23.75

17686,0.00,23.75

17887,0.00,23.75

18088,0.00,23.75

18290,0.00,23.75

18491,0.00,23.75

18693,0.00,23.75

18893,0.00,23.75

19095,0.00,23.75

19297,0.00,23.75

19497,0.00,23.75

19699,0.00,23.75

19900,0.00,23.75

20102,0.00,23.75

20302,0.00,23.75

20504,0.00,23.75

20706,0.00,23.75

20907,0.00,23.75

21108,0.00,23.75

21309,0.00,23.75

21511,0.00,23.75

21712,0.00,23.75

21913,0.00,23.75

22115,0.00,23.75

22316,0.00,23.75

22517,0.00,24.00

22719,0.00,23.75

22920,0.00,23.75

23121,0.00,23.75

23322,0.00,23.75

23524,0.00,23.75

23726,0.00,23.75

23926,0.00,23.75

24128,0.00,23.75

24329,0.00,23.75

24530,0.00,23.75

24732,0.00,23.75

24933,29.33,23.75

25135,29.33,23.75

25336,26.39,23.75

25537,26.39,23.75

25739,26.39,23.75

25940,26.39,23.75

26141,26.39,23.75

26343,26.39,23.75

26545,26.39,23.75

26746,23.46,23.75

26947,26.39,23.75

27149,26.39,23.75

27351,26.39,23.75

27551,26.39,23.75

27753,23.46,23.75

27955,26.39,23.75

28155,23.46,23.75

28357,26.39,23.75

28559,23.46,23.75

28760,23.46,23.75

28961,26.39,23.75

29163,23.46,23.75

29365,26.39,23.75

29565,23.46,23.75

29767,23.46,23.75

29969,23.46,23.75

30170,23.46,23.75

30371,23.46,23.75

30573,23.46,23.75

30774,26.39,23.75

30976,23.46,23.50

31177,23.46,23.75

31378,23.46,23.75

31580,26.39,23.75

31781,23.46,23.75

31983,26.39,23.75

32184,23.46,23.75

32386,23.46,23.75

32587,23.46,23.75

32788,23.46,23.75

32990,23.46,23.75

33191,26.39,23.75

33392,23.46,23.50

33594,26.39,23.50

33796,23.46,23.50

33996,26.39,23.50

34198,23.46,23.50

34400,23.46,23.50

34600,26.39,23.50

34802,26.39,23.75

35004,23.46,23.50

35206,26.39,23.50

35406,23.46,23.50

35608,23.46,23.50

35810,26.39,23.75

36011,23.46,23.50

36212,23.46,23.50

36414,26.39,23.50

36615,26.39,23.50

36816,23.46,23.75

37018,23.46,23.50

37219,23.46,23.50

37421,23.46,23.50

37622,26.39,23.50

37824,26.39,23.50

38025,23.46,23.50

38226,26.39,23.50

38428,23.46,23.50

38629,26.39,23.50

38831,26.39,23.50

39032,23.46,23.50

39233,23.46,23.50

39435,26.39,23.50

39636,23.46,23.50

39837,26.39,23.50

40039,26.39,23.50

40241,23.46,23.50

40441,23.46,23.50

40643,26.39,23.50

40845,26.39,23.50

41047,23.46,23.50

41247,23.46,23.50

41449,26.39,23.50

41651,23.46,23.50

41851,23.46,23.50

42053,23.46,23.50

42255,26.39,23.50

42456,23.46,23.50

42657,23.46,23.50

42859,26.39,23.50

43060,23.46,23.50

43261,26.39,23.50

43463,23.46,23.50

43664,23.46,23.50

43866,26.39,23.50

44067,23.46,23.50

44269,23.46,23.50

44470,26.39,23.50

44672,23.46,23.50

44873,23.46,23.50

45074,26.39,23.50

45276,23.46,23.50

45477,23.46,23.50

45678,23.46,23.50

45880,23.46,23.50

46082,26.39,23.50

46282,23.46,23.50

46484,23.46,23.50

46686,26.39,23.50

46887,26.39,23.50

47088,23.46,23.50

47290,23.46,23.50

47492,26.39,23.25

47692,23.46,23.50

47894,23.46,23.25

48096,26.39,23.50

48296,23.46,23.50

48498,23.46,23.25

48700,26.39,23.25

48901,23.46,23.50

49102,23.46,23.25

49304,23.46,23.50

49505,26.39,23.25

49707,23.46,23.50

49908,23.46,23.25

50110,26.39,23.25

50311,23.46,23.25

50512,26.39,23.25

50714,23.46,23.25

50915,23.46,23.25

51117,26.39,23.25

51318,23.46,23.25

51519,23.46,23.25

51721,23.46,23.25

51922,23.46,23.25

52124,23.46,23.25

52325,23.46,23.25

52527,23.46,23.25

52728,26.39,23.25

52929,26.39,23.25

53131,23.46,23.25

53332,26.39,23.25

53533,26.39,23.25

53735,23.46,23.25

53937,23.46,23.25

54137,26.39,23.25

54339,23.46,23.25

54541,23.46,23.25

54743,26.39,23.25

54943,23.46,23.25

55145,23.46,23.25

55347,23.46,23.25

55547,26.39,23.25

55749,23.46,23.25

55951,23.46,23.25

56152,23.46,23.25

56353,26.39,23.25

56555,26.39,23.25

56757,23.46,23.25

56957,26.39,23.25

57159,23.46,23.25

57361,23.46,23.25

57562,23.46,23.25

57763,23.46,23.25

57965,23.46,23.25

58166,23.46,23.25

58368,26.39,23.25

58569,23.46,23.25

58770,26.39,23.25

58972,23.46,23.25

59173,23.46,23.25

59375,23.46,23.25

59576,26.39,23.25

59778,23.46,23.25

59979,23.46,23.25

60180,26.39,23.25

60382,23.46,23.25

60583,23.46,23.25

60784,23.46,23.25

60986,26.39,23.25

61188,26.39,23.25

61389,23.46,23.25

61590,23.46,23.25

61792,26.39,23.25

61993,26.39,23.25

62194,26.39,23.25

62396,23.46,23.25

62598,23.46,23.25

62798,23.46,23.25

63000,26.39,23.25

63202,26.39,23.25

63403,23.46,23.25

63604,23.46,23.25

63806,26.39,23.25

64008,23.46,23.25

64208,23.46,23.25

64410,23.46,23.25

64612,26.39,23.25

64813,26.39,23.25

65014,23.46,23.25

65216,23.46,23.25

65417,26.39,23.25

65618,26.39,23.25

65820,23.46,23.25

66021,23.46,23.25

