

Time, Pressure, T2

561,0.00,24.75

778,0.00,24.75

978,0.00,24.75

1180,0.00,24.75

1381,0.00,24.75

1583,0.00,24.75

1783,0.00,24.75

1985,0.00,24.75

2186,0.00,24.75

2387,0.00,24.75

2589,0.00,24.75

2790,0.00,24.75

2992,0.00,24.75

3192,0.00,24.75

3394,0.00,24.75

3595,0.00,24.75

3796,0.00,24.75

3997,0.00,24.75

4199,0.00,24.75

4401,0.00,24.75

4601,0.00,24.75

4803,0.00,24.75

5004,0.00,24.75

5206,0.00,24.75

5406,0.00,24.75

5608,0.00,24.75

5809,0.00,24.75

6010,0.00,24.75

6212,0.00,24.75

6413,0.00,24.75

6615,0.00,24.75

6815,0.00,24.75

7017,0.00,24.75

7218,0.00,24.75

7419,0.00,24.75

7620,0.00,24.75

7822,0.00,24.50

8024,0.00,24.75

8224,0.00,24.75

8426,0.00,24.75

8627,0.00,24.75

8828,0.00,24.75

9029,0.00,24.75

9231,0.00,24.75

9432,0.00,24.75

9633,0.00,24.75

9835,0.00,24.75

10036,0.00,24.75

10237,0.00,24.75

10438,0.00,24.75

10640,0.00,24.75

10842,0.00,24.75

11042,0.00,24.75

11244,0.00,24.75

11445,0.00,24.75

11646,0.00,24.75

11847,0.00,24.75

12049,0.00,24.75

12251,0.00,24.75

12451,0.00,24.75

12653,0.00,24.50

12854,0.00,24.75

13056,0.00,24.75

13257,0.00,24.75

13458,0.00,24.75

13660,0.00,24.75

13860,0.00,24.75

14062,0.00,24.75

14264,0.00,24.75

14465,0.00,24.75

14666,0.00,24.50

14867,0.00,24.50

15069,0.00,24.50

15270,0.00,24.50

15471,0.00,24.50

15673,0.00,24.50

15874,0.00,24.50

16075,0.00,24.50

16277,0.00,24.50

16478,0.00,24.75

16679,0.00,24.75

16880,0.00,24.50

17082,0.00,24.75

17284,0.00,24.75

17484,0.00,24.75

17686,0.00,24.75

17887,0.00,24.75

18088,0.00,24.75

18290,0.00,24.75

18491,0.00,24.75

18693,0.00,24.75

18893,0.00,24.75

19095,0.00,24.75

19297,0.00,24.75

19497,0.00,24.75

19699,0.00,24.75

19900,0.00,24.50

20102,0.00,24.75

20303,0.00,24.75

20504,0.00,24.75

20706,0.00,24.75

20907,0.00,24.75

21108,0.00,24.75

21310,0.00,24.50

21511,0.00,24.75

21712,0.00,24.75

21913,0.00,24.75

22115,0.00,24.75

22317,0.00,24.75

22517,0.00,24.50

22719,0.00,24.50

22920,0.00,24.75

23121,0.00,24.75

23323,0.00,24.75

23524,0.00,24.75

23726,0.00,24.50

23926,0.00,24.75

24128,0.00,24.50

24329,0.00,24.50

24530,0.00,24.75

24732,0.00,24.75

24933,0.00,24.50

25135,0.00,24.75

25335,0.00,24.50

25537,0.00,24.50

25739,0.00,24.50

25939,0.00,24.75

26141,0.00,24.75

26342,0.00,24.75

26544,0.00,24.75

26745,0.00,24.50

26946,0.00,24.75

27148,0.00,24.75

27348,0.00,24.75

27550,0.00,24.50

27752,0.00,24.75

27953,0.00,24.50

28154,0.00,24.75

28355,0.00,24.75

28557,0.00,24.50

28759,0.00,24.75

28959,0.00,24.75

29161,0.00,24.75

29362,0.00,24.75

29563,0.00,24.50

29765,0.00,24.50

29966,0.00,24.50

30168,0.00,24.50

30368,0.00,24.75

30570,0.00,24.75

30772,0.00,24.50

30972,0.00,24.75

31174,0.00,24.75

31375,0.00,24.75

31577,0.00,24.75

31778,0.00,24.75

31979,0.00,24.50

32181,0.00,24.75

32381,0.00,24.75

32583,0.00,24.75

32785,0.00,24.75

32986,0.00,24.75

33187,0.00,24.75

33388,0.00,24.50

33590,0.00,24.50

33792,0.00,24.75

33992,0.00,24.75

34194,0.00,24.50

34395,0.00,24.75

34596,0.00,24.75

34798,0.00,24.75

34999,0.00,24.75

35201,0.00,24.75

35401,32.26,24.75

35603,73.31,24.75

35805,61.58,24.75

36005,55.72,24.75

36207,49.85,24.75

36409,46.92,24.75

36611,43.99,24.75

36811,41.06,24.75

37013,38.12,24.75

37215,38.12,24.75

37415,35.19,24.75

37617,35.19,24.75

37819,35.19,24.75

38020,32.26,24.75

38221,35.19,24.75

38423,35.19,24.75

38624,32.26,24.75

38825,32.26,24.75

39027,32.26,24.75

39229,32.26,24.75

39430,32.26,24.75

39631,32.26,24.75

39833,35.19,24.75

40034,32.26,24.75

40236,32.26,24.75

40437,35.19,24.75

40638,38.12,24.75

40840,38.12,24.75

41041,41.06,25.00

41243,43.99,25.00

41444,43.99,24.75

41646,46.92,25.00

41847,49.85,25.00

42048,52.79,25.00

42250,52.79,25.00

42451,55.72,25.00

42652,55.72,25.00

42854,58.65,25.00

43056,61.58,25.00

43256,61.58,25.00

43458,61.58,25.00

43660,64.52,25.00

43860,64.52,25.00

44062,64.52,25.00

44264,61.58,25.00

44465,61.58,25.00

44666,61.58,25.00

44868,61.58,25.00

45070,61.58,25.00

45271,61.58,25.00

45472,58.65,25.00

45674,61.58,25.00

45875,61.58,25.00

46076,58.65,25.00

46278,61.58,25.00

46479,61.58,25.00

46681,61.58,25.00

46882,61.58,25.25

47083,61.58,25.25

47285,61.58,25.00

47486,61.58,25.00

47687,58.65,25.00

47889,61.58,25.25

48091,61.58,25.25

48291,61.58,25.25

48493,61.58,25.25

48695,61.58,25.00

48897,61.58,25.25

49097,61.58,25.25

49299,61.58,25.00

49501,61.58,25.25

49701,61.58,25.25

49903,61.58,25.25

50105,58.65,25.25

50306,61.58,25.25

50507,58.65,25.25

50709,61.58,25.25

50911,61.58,25.25

