

Time, Pressure, T2

561,0.00,23.75

778,0.00,23.75

978,0.00,23.75

1180,0.00,23.75

1381,0.00,23.75

1583,0.00,23.75

1783,0.00,23.75

1985,0.00,23.75

2186,0.00,23.75

2387,0.00,23.75

2589,0.00,23.75

2790,0.00,23.75

2992,0.00,23.75

3192,0.00,23.75

3394,0.00,23.75

3595,0.00,23.75

3796,0.00,23.75

3997,0.00,23.75

4199,0.00,23.75

4401,0.00,23.75

4601,0.00,23.75

4803,0.00,23.75

5004,0.00,23.75

5206,0.00,23.75

5406,0.00,23.75

5608,0.00,23.75

5809,0.00,23.75

6010,0.00,23.50

6212,0.00,23.75

6413,0.00,23.75

6615,0.00,23.75

6815,0.00,23.75

7017,0.00,23.75

7218,0.00,23.75

7419,0.00,23.75

7620,0.00,23.75

7822,0.00,23.75

8024,0.00,23.75

8224,0.00,23.75

8426,0.00,23.75

8627,0.00,23.75

8828,0.00,23.75

9029,0.00,23.75

9231,0.00,23.75

9432,0.00,23.75

9633,0.00,23.75

9835,0.00,23.50

10036,0.00,23.50

10237,0.00,23.50

10438,0.00,23.75

10640,0.00,23.50

10841,0.00,23.75

11042,0.00,23.75

11244,0.00,23.50

11445,0.00,23.75

11646,0.00,23.75

11847,0.00,23.75

12049,0.00,23.75

12251,0.00,23.50

12451,0.00,23.75

12653,0.00,23.50

12854,0.00,23.50

13056,0.00,23.50

13257,0.00,23.75

13458,0.00,23.75

13660,0.00,23.50

13860,0.00,23.50

14062,0.00,23.50

14264,0.00,23.75

14465,0.00,23.75

14666,0.00,23.50

14867,0.00,23.50

15069,0.00,23.50

15270,0.00,23.50

15471,0.00,23.50

15673,0.00,23.75

15874,0.00,23.75

16075,0.00,23.50

16277,0.00,23.50

16478,0.00,23.50

16679,0.00,23.50

16880,0.00,23.50

17082,0.00,23.75

17283,0.00,23.50

17484,0.00,23.75

17686,0.00,23.50

17887,0.00,23.75

18088,0.00,23.50

18289,0.00,23.50

18491,0.00,23.50

18693,0.00,23.50

18893,0.00,23.50

19095,0.00,23.50

19296,0.00,23.75

19497,0.00,23.50

19699,0.00,23.50

19900,0.00,23.50

20102,0.00,23.50

20302,0.00,23.50

20504,0.00,23.50

20706,0.00,23.50

20907,0.00,23.50

21108,0.00,23.50

21309,0.00,23.50

21511,0.00,23.50

21712,0.00,23.50

21913,0.00,23.50

22115,0.00,23.50

22316,0.00,23.50

22517,0.00,23.50

22719,0.00,23.50

22920,0.00,23.50

23121,0.00,23.50

23322,0.00,23.50

23524,0.00,23.50

23726,0.00,23.50

23926,0.00,23.50

24128,0.00,23.50

24329,0.00,23.50

24530,0.00,23.50

24731,0.00,23.50

24933,0.00,23.50

25135,0.00,23.50

25335,0.00,23.50

25537,0.00,23.50

25738,0.00,23.50

25939,0.00,23.50

26141,0.00,23.50

26342,23.46,23.50

26544,20.53,23.50

26745,17.60,23.50

26946,17.60,23.50

27148,17.60,23.50

27350,14.66,23.50

27550,17.60,23.50

27752,17.60,23.50

27954,17.60,23.25

28154,17.60,23.50

28356,17.60,23.50

28558,17.60,23.50

28760,14.66,23.50

28960,17.60,23.50

29162,17.60,23.50

29364,17.60,23.25

29564,17.60,23.25

29766,14.66,23.25

29968,14.66,23.25

30169,14.66,23.50

30370,14.66,23.50

30572,14.66,23.25

30773,17.60,23.50

30974,14.66,23.25

31176,14.66,23.50

31377,14.66,23.25

31579,14.66,23.25

31780,14.66,23.25

31982,14.66,23.25

32183,17.60,23.25

32385,14.66,23.25

32586,14.66,23.50

32787,14.66,23.25

32989,17.60,23.25

33190,14.66,23.25

33391,17.60,23.50

33593,14.66,23.25

33795,14.66,23.25

33996,14.66,23.25

34197,14.66,23.25

34399,14.66,23.25

34600,14.66,23.25

34801,17.60,23.25

35003,14.66,23.25

35205,14.66,23.25

35405,17.60,23.25

35607,14.66,23.25

35809,14.66,23.25

36009,14.66,23.25

36211,14.66,23.25

36413,14.66,23.25

36615,14.66,23.25

36815,14.66,23.25

37017,14.66,23.50

37219,14.66,23.25

37420,14.66,23.25

37621,14.66,23.25

37823,14.66,23.25

38024,14.66,23.25

38225,14.66,23.25

38427,17.60,23.25

38629,14.66,23.25

38830,14.66,23.25

39031,14.66,23.25

39233,14.66,23.25

39434,14.66,23.25

39635,14.66,23.25

39837,14.66,23.25

40038,14.66,23.25

40240,14.66,23.25

40441,14.66,23.25

40642,14.66,23.25

40844,14.66,23.25

41046,17.60,23.25

41247,14.66,23.25

41448,14.66,23.25

41650,17.60,23.25

41851,17.60,23.25

42052,14.66,23.25

42254,14.66,23.25

42456,14.66,23.25

42656,14.66,23.25

42858,14.66,23.25

43060,14.66,23.25

43261,17.60,23.25

43462,17.60,23.25

43664,14.66,23.25

43866,14.66,23.25

44066,14.66,23.25

44268,14.66,23.25

44470,17.60,23.25

44670,17.60,23.25

44872,14.66,23.25

45074,14.66,23.25

45275,14.66,23.25

45476,14.66,23.25

45678,14.66,23.25

45880,14.66,23.25

46081,14.66,23.25

46282,14.66,23.25

46484,14.66,23.25

46685,14.66,23.25

46886,14.66,23.25

47088,14.66,23.25

47289,14.66,23.25

47491,14.66,23.25

47692,14.66,23.25

47894,14.66,23.25

48095,14.66,23.25

48296,14.66,23.25

48498,17.60,23.25

48699,14.66,23.25

48901,14.66,23.25

49102,14.66,23.25

49303,14.66,23.25

49505,14.66,23.25

49707,14.66,23.25

49907,14.66,23.25

50109,14.66,23.25

50311,14.66,23.25

50512,17.60,23.25

50713,17.60,23.25

50915,17.60,23.25

51117,14.66,23.25

51317,14.66,23.25

51519,14.66,23.25

51721,14.66,23.25

51921,17.60,23.25

52123,14.66,23.25

52325,17.60,23.25

52527,14.66,23.25

52727,14.66,23.25

52929,17.60,23.25

53131,17.60,23.25

53331,14.66,23.25

53533,14.66,23.25

53735,14.66,23.25

53936,17.60,23.25

54137,14.66,23.25

54339,14.66,23.25

54540,14.66,23.25

54742,17.60,23.25

54943,17.60,23.25

55145,14.66,23.25

55346,17.60,23.25

55547,14.66,23.25

55749,14.66,23.25

55950,14.66,23.25

56152,14.66,23.25

56353,17.60,23.25

56554,14.66,23.25

56756,17.60,23.25

56957,17.60,23.25

57158,14.66,23.25

57360,14.66,23.25

57562,14.66,23.25

57763,17.60,23.25

57964,14.66,23.25

58166,14.66,23.25

58368,14.66,23.25

